City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
158,Bredasdorp,ZA,58.5,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
160,Korla,CN,56.37,clear sky,41.7597,86.1469,Gulisitan Hotel
162,Shajapur,IN,79.75,clear sky,23.4333,76.2667,Gajraj singh chawada
163,Namatanai,PG,85.64,light rain,-3.6667,152.4333,Seagulls Inn Namatani
164,San Cristobal,VE,73.58,few clouds,7.7669,-72.225,Pirineos
165,Kaitangata,NZ,67.98,light rain,-46.2817,169.8464,Kaitangata Motor Camp
167,Sao Felix Do Xingu,BR,72.19,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
169,Hamilton,US,54.45,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
174,Port Elizabeth,ZA,61.32,clear sky,-33.918,25.5701,39 On Nile Guest House
176,Bridlington,GB,51.89,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
178,Camacha,PT,53.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
179,Abu Kamal,SY,64.96,clear sky,34.4506,40.9171,محطة التلفاز
181,Fuengirola,ES,53.85,broken clouds,36.54,-4.6247,Hotel Las Palmeras
182,Tamandare,BR,77.65,few clouds,-8.7597,-35.1047,Pousada 100 Passos
183,Asfi,MA,56.59,broken clouds,32.2994,-9.2372,Hôtel Abda
184,Mackay,AU,86.68,scattered clouds,-21.15,149.2,International Lodge Motel
186,Hokitika,NZ,58.41,light rain,-42.7167,170.9667,Beachfront Hotel Hokitika
187,Cape Town,ZA,61.88,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
188,Cabo San Lucas,MX,74.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
189,Manavalakurichi,IN,79.02,overcast clouds,8.1333,77.3,Jebinrio home
192,Los Llanos De Aridane,ES,58.75,clear sky,28.6585,-17.9182,Valle Aridane
193,Nieuw Amsterdam,SR,77.16,scattered clouds,5.8833,-55.0833,Hotel Stardust
194,Constitucion,CL,56.19,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
195,Katsuura,JP,51.6,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
196,Carutapera,BR,75.81,light rain,-1.195,-46.02,Lidera
198,Sao Gabriel Da Cachoeira,BR,73.69,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
199,Kousseri,CM,84.16,few clouds,12.0769,15.0306,Le Pilotis
