City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Polevskoy,RU,56.4422,60.1878,33.75,83,100,14.81,overcast clouds
135,Itarema,BR,-2.9248,-39.9167,76.86,90,100,8.03,overcast clouds
136,Bengkulu,ID,-3.8004,102.2655,79.14,69,59,3.94,broken clouds
137,Hasaki,JP,35.7333,140.8333,54.28,84,100,23.24,overcast clouds
138,Revelstoke,CA,50.9832,-118.2023,39.22,93,100,3.44,overcast clouds
139,Walvis Bay,NA,-22.9575,14.5053,57.09,94,0,4.61,clear sky
140,Ojinaga,MX,29.5667,-104.4167,85.41,16,0,6.91,clear sky
141,Buraydah,SA,26.326,43.975,73.85,13,100,7.43,overcast clouds
142,Yakymivka,UA,46.6897,35.1536,35.46,68,65,7.7,broken clouds
143,Bosaso,SO,11.2842,49.1816,78.6,52,0,10.58,clear sky
144,Kopavogur,IS,64.1123,-21.913,30.42,80,100,14.97,snow
145,Geraldton,AU,-28.7667,114.6,68.41,73,0,21.85,clear sky
146,Mitchell,US,43.7094,-98.0298,58.98,28,0,23.02,clear sky
147,Vao,NC,-22.6667,167.4833,78.98,85,100,15.55,light rain
148,Caravelas,BR,-17.7125,-39.2481,76.37,81,1,4.03,clear sky
149,Muhos,FI,64.808,25.9931,24.89,96,100,4.32,overcast clouds
150,Avarua,CK,-21.2078,-159.775,84.25,74,40,3.44,scattered clouds
151,Roebourne,AU,-20.7833,117.1333,89.26,43,0,6.6,clear sky
152,Asau,RO,46.4333,26.4,36.52,82,1,5.75,clear sky
153,Dikson,RU,73.5069,80.5464,3.92,83,53,15.59,broken clouds
154,Clyde River,CA,70.4692,-68.5914,10.63,72,0,2.3,clear sky
155,Umba,RU,66.6871,34.3429,27.82,96,100,17.69,light snow
156,Hrymayliv,UA,49.3321,26.0111,30.97,62,21,11.25,few clouds
157,Ilulissat,GL,69.2167,-51.1,32.02,64,20,3.44,few clouds
158,Bredasdorp,ZA,-34.5322,20.0403,58.5,82,7,7.14,clear sky
159,Beringovskiy,RU,63.05,179.3167,-0.63,76,12,19.35,few clouds
160,Korla,CN,41.7597,86.1469,56.37,25,0,3.83,clear sky
161,Leningradskiy,RU,69.3833,178.4167,-2.4,84,44,3.09,scattered clouds
162,Shajapur,IN,23.4333,76.2667,79.75,16,3,4.63,clear sky
163,Namatanai,PG,-3.6667,152.4333,85.64,68,99,10.83,light rain
164,San Cristobal,VE,7.7669,-72.225,73.58,86,22,2.26,few clouds
165,Kaitangata,NZ,-46.2817,169.8464,67.98,61,100,5.64,light rain
166,Elko,US,41.0002,-115.5012,59.02,51,97,27.85,overcast clouds
167,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.19,97,99,0.38,overcast clouds
168,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,70,75,8.05,broken clouds
169,Hamilton,US,39.1834,-84.5333,54.45,61,0,9.22,clear sky
170,Upernavik,GL,72.7868,-56.1549,19.22,84,100,5.01,overcast clouds
171,Lata,PT,40.1629,-8.3327,43.59,52,100,4.79,overcast clouds
172,Nizhniy Chir,RU,48.3597,43.0865,36.48,73,100,10.54,overcast clouds
173,Okha,RU,53.5739,142.9478,30.63,56,100,9.57,overcast clouds
174,Port Elizabeth,ZA,-33.918,25.5701,61.32,80,0,3.44,clear sky
175,Chippewa Falls,US,44.9369,-91.3929,41.18,79,100,0.0,overcast clouds
176,Bridlington,GB,54.0831,-0.1919,51.89,85,100,15.41,overcast clouds
177,Amapa,BR,1.0,-52.0,70.74,99,100,1.61,overcast clouds
178,Camacha,PT,33.0833,-16.3333,53.02,58,40,20.71,scattered clouds
179,Abu Kamal,SY,34.4506,40.9171,64.96,32,0,9.46,clear sky
180,Broome,US,42.2506,-75.833,41.61,69,100,3.44,overcast clouds
181,Fuengirola,ES,36.54,-4.6247,53.85,97,75,8.05,broken clouds
182,Tamandare,BR,-8.7597,-35.1047,77.65,80,15,5.41,few clouds
183,Asfi,MA,32.2994,-9.2372,56.59,63,70,13.8,broken clouds
184,Mackay,AU,-21.15,149.2,86.68,74,40,10.36,scattered clouds
185,Khatanga,RU,71.9667,102.5,-13.61,92,50,4.74,scattered clouds
186,Hokitika,NZ,-42.7167,170.9667,58.41,83,100,6.87,light rain
187,Cape Town,ZA,-33.9258,18.4232,61.88,88,75,11.5,broken clouds
188,Cabo San Lucas,MX,22.8909,-109.9124,74.61,75,100,12.97,overcast clouds
189,Manavalakurichi,IN,8.1333,77.3,79.02,81,89,3.36,overcast clouds
190,Muzhi,RU,65.3667,64.6667,12.25,85,15,7.07,few clouds
191,Leh,IN,34.1667,77.5833,23.34,64,5,5.46,clear sky
192,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,74,0,18.41,clear sky
193,Nieuw Amsterdam,SR,5.8833,-55.0833,77.16,89,40,5.75,scattered clouds
194,Constitucion,CL,-35.3333,-72.4167,56.19,64,0,11.21,clear sky
195,Katsuura,JP,35.1333,140.3,51.6,90,99,23.47,overcast clouds
196,Carutapera,BR,-1.195,-46.02,75.81,94,100,3.24,light rain
197,Bonavista,CA,48.6499,-53.1147,32.45,91,100,21.21,light snow
198,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.69,98,100,0.51,light rain
199,Kousseri,CM,12.0769,15.0306,84.16,17,18,1.14,few clouds
200,La Palma,US,33.8464,-118.0467,76.96,64,75,8.05,broken clouds
201,Axim,GH,4.8699,-2.2405,80.06,87,100,6.8,light rain
202,Mahebourg,MU,-20.4081,57.7,77.29,94,75,6.91,broken clouds
203,Teya,RU,60.3778,92.6267,26.24,93,100,5.7,light snow
204,Nicoya,CR,10.1483,-85.452,82.27,69,100,2.39,overcast clouds
